Adriano Oliveira,UFPE
Afonso Paiva,ICMC/USP
Alberto Ferreira De Souza,UFES
Alceu Souza Britto,PUC/PR
Aldo von Wangenhein,UFSC
Alexandre Falcao,UNICAMP
Alexandre Levada,UFSCar
Aline Villavicencio,UFRGS
Aluizio Araujo,UFPE
Anderson Rocha,UNICAMP
Andre Backes,UFU
Andre Ponce de Leon Carvalho,ICMC/USP
Andrea Bianchi,UFOP
Anselmo Cardoso de Paiva,UFMA
Antonio Augusto Medeiros Frohlich,UFSC
Aparecido Marana,UNESP
Arnaldo Araujo,UFMG
Bruno Travencolo,UFU
Bruno Zatt,UFPEL
Cesar Augusto Marcon,PUC-RS
Cesar Comin,UFSCar
Claudine Badue,UFES
Claudio Jung,UFRGS
Cleber Zanchettin,UFPE
Cristiano Costa,Unisinos
Cristina Nader Vasconcelos,UFF
Daniel Carlos Guimaraes Pedronette,UNESP
Daniel Osaku,UFSCar
David Menotti,UFPR
Dennis Giovani Balreira,UFRGS
Douglas Guimaraes Macharet,UFMG
Eduardo Gastal,UFRGS
Eduardo Sany Laber,PUC-Rio
Erickson Rangel do Nascimento,UFMG
Esteban Clua,UFF
Fabio Augusto Faria,UNIFESP
Fabio Cappabianco,UNIFESP
Fabricio Enembreck,PUC-PR
Francisco Tenorio de Carvalho,UFPE
George Cavalcanti,UFPE
Gerberth Adin Ramirez Rivera,UNICAMP
Guilherme Ribeiro Correa,UFPEL
Hansenclever Bassani,UFPE
Heitor Silverio Lopes,UTFPR
Helio Lopes,PUC-Rio
Helio Pedrini,UNICAMP
Jacob Scharcanski,UFRGS
Jefersson dos Santos,UFMG
Joao Paulo Gois,UFABC
Joao Paulo Papa,UNESP
Joao Paulo Silva do Monte Lima,UFRPE
Joel Rodrigues,Inatel
Jonatas Wehrmann, PUC-Rio
Jose Fernando Rodrigues Junior,ICMC/USP
Jose Viterbo,UFF
Jurandy Almeida,UFSCar
Leandro Fernandes,UFF
Lilian Berton,UNIFESP
Luciano Silva,UFPR
Luis Gustavo Nonato,ICMC/USP
Luis Zarate,PUC Minas
Luiz Eduardo Soares Oliveira,UFPR
Luiz Gonzaga,Unisinos
Manuel Oliveira,UFRGS
Marcelo Walter,UFRGS
Marco Molinaro,PUC-Rio
Marcos Andre Goncalves,UFMG
Marcus Poggi,PUC-Rio
Maria Claudia Boeres,UFES
Mario Fernando Montenegro Campos,UFMG
Mateus Grellert,UFRGS
Michel Melo Silva,UFV
Moacir Ponti,ICMC/USP
Nelson Mascarenhas,UFSCar
Olga Bellon,UFPR
Paulo Antonio Leal Rego,UFC
Paulo Henrique Pisani,UFABC
Paulo Lilles Jorge Drews Junior,FURG
Paulo Mattos Neto,UFPE
Paulo Miranda,IME/USP
Rafael Rossi,UFMS
Renata Maria de Souza,UFPE
Ricardo Fabbri,UERJ
Ricardo Marcacini,UFMS
Ricardo Marroquim,COPPE/UFRJ
Ricardo Rios,UFBA
Ricardo Torres,UNICAMP
Roberto Cesar Junior,IME/USP
Roberto Hirata,IME/USP
Rodolfo Stoffel Antunes,Unisinos
Rodrigo Barros,PUC-RS
Rodrigo Righi,Unisinos
Rodrigo de Bem,FURG
Sandra Avila,UNICAMP
Sergio Bampi,UFRGS
Silvio Guimaraes,PUC Minas
Solange Rezende,ICMC/USP
Soraia Musse,PUC-RS
Sylvio Barbon Junior,UEL
Teofilo de Campos,UnB
Teresa Ludermir,UFPE
Thiago Oliveira Santos,UFES
Thiago da Silveira,UFRGS
Thibaut Vidal,PUC-Rio
Tsang Ing Ren,UFPE
Veronica Teichrieb,UFPE
Wesley Nunes Goncalves,UFMS
William Schwartz,UFMG
Willian Amorim,UFGD
Zanoni Dias,UNICAMP
