Adiel Almeida Filho,UFPE
Alexandre Plastino,UFF
Alexandre Salles da Cunha,UFMG
Anand Subramanian,UFPB
Andre Gustavo dos Santos,UFV
Andre Luiz Lins de Aquino,UFAL
Andre Renato Sales Amaral,UFES
Andre Renato Villela da Silva,UFF
Andre Rossi,UNESP
Bruno Costa e Silva Nogueira,UFAL
Bruno Petrato Bruck,UFPB
Bruno Queiroz Pinto,IFTM
Carlos Lima,UFCA
Celina de Figueiredo,COPPE/UFRJ
Celso Ribeiro,UFF
Christiane Neme Campos,UNICAMP
Cid Carvalho de Souza,UNICAMP
Claudio Toledo,ICMC/USP
Cristiano Arbex Valle,UFMG
Cristina Fernandes,IME/USP
Dario Aloise,UERN
Diana Sasaki Nobrega,UERJ
Dilson Lucas Pereira,UFLA
Eduardo Antonio Guimaraes Tavares,UFPE
Elizabeth Goldbarg,UFRN
Elizabeth Wanner,CEFET-MG
Ernesto Birgin,IME/USP
Fabio Luiz Usberti,UNICAMP
Fabio Protti,UFF
Felipe Franca,COPPE/UFRJ
Fernando Von Zuben,FEEC/UNICAMP
Flavio Keidi Miyazawa,UNICAMP
Frederico Gadelha Guimaraes,UFMG
Geraldo Robson Mateus,UFMG
Gilberto Farias de Souza Filho,UFPB
Gisele Pappa,UFMG
Haroldo Gambini Santos,UFOP
Horacio Hideki Yanasse,UNIFESP
Igor Machado Coelho,UERJ
Isabel Rosseti,UFF
Janio Carlos Nascimento Silva,IFTO
Jayme Szwarcfiter,COPPE/UFRJ
Joao Eduardo Ferreira,IME/USP
Jorge Stolfi,UNICAMP
Laura Bahiense,COPPE/UFRJ
Lehilton Pedrosa,UNICAMP
Loana Tito Nogueira,UFF
Luciana Buriol,UFRGS
Lucidio Formiga Cabral,UFPB
Luerbio Faria,UERJ
Luidi Simonetti,COPPE/UFRJ
Luiz Filipe Vieira,UFMG
Luiz Henrique Merschmann,UFLA
Luiz Satoru Ochi,UFF
Manoel Bezerra Campelo Neto,UFC
Marcia Fampa,COPPE/UFRJ
Marcio Costa Santos,UFMG
Marco Antonio Moreira de Carvalho,UFOP
Marco Goldbarg,UFRN
Marco Molinaro,PUC-Rio
Marcone Souza,UFOP
Marcus Poggi,PUC-Rio
Marcus Ritt,UFRGS
Maria Nascimento,UNIFESP
Maristela Santos,ICMC/USP
Martin Gomez Ravetti,UFMG
Mayron Cesar Moreira,UFLA
Mitre Costa Dourado,DCC/UFRJ
Myriam Delgado,UTFPR
Nelson Fonseca,UNICAMP
Nelson Maculan,COPPE/UFRJ
Paulo Maciel,UFPE
Paulo Roberto Oliveira,COPPE/UFRJ
Pedro Jussieu de Rezende,UNICAMP
Puca Huachi Penna,UFOP
Rafael Melo,UFBA
Rafael Schouery,UNICAMP
Renato Krohling,UFES
Rian Gabriel Santos Pinheiro,UFAL
Roberto Imbuzeiro Oliveira,IMPA
Rosiane de Freitas,UFAM
Sandra Venske,UNICENTRO
Santiago Valdes Ravelo,UFRGS
Simone Dantas de Souza,UFF
Simone de Lima Martins,UFF
Teobaldo Bulhoes,UFPB
Thiago Noronha,UFMG
Thibaut Vidal,PUC-Rio
Tulio Toffolo,UFOP
Ueverton Souza,UFF
Vinicius Santos,UFMG
Wendel Melo,UFU
Yoshiko Wakabayashi,IME/USP
Yuri Frota,UFF
Zanoni Dias,UNICAMP
