Adenauer Yamin,UFPEL
Adenilso Simao,ICMC/USP
Adriano Oliveira,UFPE
Alessandro Garcia,PUC-Rio
Alexandre Mota,UFPE
Alexandre Plastino,UFF
Alexandre Vasconcelos,UFPE
Alfredo Goldman,IME/USP
Aline Andrade,UFBA
Altigran Silva,UFAM
Ana de Melo,IME/USP
Andre Freire,UFLA
Andre Hora,UFMG
Andre Santos,UFPE
Andreia Malucelli,PUC-PR
Andrey Pimentel,UFPR
Arilo Dias Neto,UFAM
Arnaldo Moura,UNICAMP
Augusto Sampaio,UFPE
Auri Vincenzi,UFSCar
Avelino Zorzo,PUC-RS
Baldoino Fonseca,UFAL
Breno Miranda,UFPE
Bruno Cafeo,UFMS
Bruno Cartaxo,IFPE
Bruno Feijo,PUC-Rio
Bruno Gadelha,UFAM
Bruno Nogueira,UFMS
Camilo Almendra,UFC
Carina Frota Alves,UFPE
Carla Freitas,UFRGS
Carla Taciana,UFPE
Carlos Eduardo da Silva,UFRN
Carlos Lucena,PUC-Rio
Cesar Lincoln Mattos,UFC
Claudia Werner,COPPE/UFRJ
Claudio Sant’Anna,UFBA
Cleidson Souza,UFPA
Daltro Nunes,UFRGS
Edna Dias Canedo,UnB
Edson OliveiraJr,UEM
Eduardo Almeida,UFBA
Eduardo Figueiredo,UFMG
Eiji Adachi Barbosa,IMD/UFRN
Elaine Oliveira,UFAM
Elder Cirilo,UFSJ
Elisa Yumi Nakagawa,ICMC/USP
Enyo Goncalves,UFC
Esteban Clua,UFF
Evandro Costa,UFAL
Everton Alves,UFCG
Fabiane Barreto Vavassori Beniti,UFSC
Fabiano Ferrari,UFSCar
Fabio Kon,IME/USP
Fabio Q. B. da Silva,UFPE
Fabio Verdi,UFSCar
Fabricio Enembreck,PUC-PR
Fernando Castor,UFPE
Fernando Figueira Filho,UFRN
Filipe Saraiva,UFPA
Flavia Delicato,DCC/UFRJ
Flavio Soares Correa da Silva,IME/USP
Francisco Heron de Carvalho,UFC
Genaina Rodrigues,UnB
Giancarlo Guizzardi,UFES
Glauco Carneiro,UNIFACS
Gleison Santos,UNIRIO
Guilherme Avelino,UFPI
Guilherme Cavalcanti,IFAL
Guilherme Travassos,COPPE/UFRJ
Gustavo Pinto,UFPA
Heitor Costa,UFLA
Henrique Rebelo,UFPE
Hermano Moura,UFPE
Hudson Borges,UFMS
Hyggo Almeida,UFCG
Ig Ibert Bittencourt,UFAL
Igor Wiese,UTFPR
Ingrid Oliveira,UFRGS
Ivan Machado,UFBA
Jaelson Castro,UFPE
Jessyka Vilela,UFPE
Joao Bosco Ferreira Filho,UFC
Joao Paulo Almeida,UFES
Joao Paulo Pordeus Gomes,UFC
Joel Rodrigues,Inatel
Johnny Marques,ITA
Jorge Audy,PUC-RS
Jorge Luis Victoria Barbosa,Unisinos
Jose Carlos Maldonado,ICMC/USP
Jose Maria Monteiro,UFC
Jose Palazzo de Oliveira,UFRGS
Juliano Iyoda,UFPE
Julio Leite,PUC-Rio
Kate Revoredo,UNIRIO
Kecia Ferreira,CEFET-MG
Kiev Gama,UFPE
Kleinner Farias,Unisinos
Leobino Sampaio,UFBA
Leonardo Fernandes,IFAL
Leonardo Montecchi,UNICAMP
Leonardo Murta,UFF
Leopoldo Teixeira,UFPE
Lina Garces,UNIFEI
Lincoln Rocha,UFC
Lisandra Fontoura,UFSM
Luci Pirmez,NCE/UFRJ
Luciana Lourdes Silva,IFMG
Luciana Zaina,UFSCar
Lucineia Heloisa Thom,UFRGS
Lucio Mauro Duarte,UFRGS
Luis Valente,UFF
Manoel Mendonca,UFBA
Marcel Oliveira,UFRN
Marcelo Chaim,EACH/USP
Marcelo Maia,UFU
Marcelo Morandini,EACH/USP
Marcelo Pimenta,UFRGS
Marcelo Schots,UERJ
Marcelo d'Amorim,UFPE
Marcio Barros,UNIRIO
Marcio Cornelio,UFPE
Marcio Delamaro,ICMC/USP
Marcio Ribeiro,UFAL
Marco Cristo,UFAM
Marco Graciotto Silva,UTFPR
Marco Tulio Valente,UFMG
Marcos Didonet Del Fabro,UFPR
Marcos Kalinowski,PUC-Rio
Maria Cecilia Baranauskas,UNICAMP
Mariza Bigonha,UFMG
Melina Mongiovi,UFCG
Michel Albonico,UTFPR
Michel dos Santos Soares,UFS
Milene Silveira,PUC-RS
Monalessa Barcellos,UFES
Nabor Mendonca,UNIFOR
Nelio Cacho,UFRN
Otavio Lemos,UNIFESP
Paola Accioly,UFCA
Patricia Machado,UFCG
Paulo Borba,UFPE
Paulo Maciel,UFPE
Paulo Pires,DCC/UFRJ
Paulo Sergio Lopes de Souza,ICMC/USP
Pedro Santos Neto,UFPI
Rafael Dias Araujo,UFU
Rafael Maiani de Mello,DCC/UFRJ
Rafael Prikladnicki,PUC-RS
Rafael Rossi,UFMS
Raphael Pereira de Oliveira,IFS
Raul Wazlawick,UFSC
Renan Cattelan,UFU
Renata Fortes,ICMC/USP
Renata Galante,UFRGS
Renata Maria de Souza,UFPE
Renata Teles Moreira,UFLA
Ricardo Marcacini,UFMS
Ricardo Massa Ferreira Lima,UFPE
Ricardo Terra,UFLA
Ricardo Torres,UNICAMP
Ricardo de Almeida Falbo,UFES
Rita Suzana Pitangueira Maciel,UFBA
Roberta Coelho,UFRN
Roberto Bigonha,UFMG
Roberto Pereira,UFPR
Rodrigo Bonifacio,UnB
Rodrigo Pereira dos Santos,UNIRIO
Rodrigo Spinola,UNIFACS
Rohit Gheyi,UFCG
Ronaldo Ferreira,UFMS
Rosana Braga,ICMC/USP
Rossana Andrade,UFC
Sabrina Marczak,PUC-RS
Sandra Fabbri,UFSCar
Seiji Isotani,ICMC/USP
Sergio Soares,UFPE
Sheila Reinehr,PUC-PR
Silvia Vergilio,UFPR
Silvio Meira,UFPE
Simone Barbosa,PUC-Rio
Simone Souza,ICMC/USP
Tayana Conte,UFAM
Thais Batista,UFRN
Thais Rocha,UFAPE
Thelma Colanzi,UEM
Tiago Massoni,UFCG
Tiago da Silva,UNIFESP
Toacy Oliveira,COPPE/UFRJ
Uira Kulesza,UFRN
Valeria Times,UFPE
Valter Camargo,UFSCar
Vander Alves,UnB
Vanessa Braganholo,UFF
Vaninha Vieira,UFBA
Victor Sobreira,UFU
Wesley Klewerton,UTFPR
Wilkerson Andrade,UFCG
Windson Viana,UFC
Wylliams Santos,UPE
