Alberto Castro,UFAM,61/2142
Alberto Raposo,PUC-Rio,r/AlbertoBarbosaRaposo
Alex Sandro Gomes,UFPE,43/5447
Almerindo Rehem Neto,UFBA,44/4401
Alysson Prado,UNICAMP,26/6372
Amanda Meincke Melo,UFPAMPA,94/4531
Anderson Maciel,UFRGS,72/4175
Andre Freire,UFLA,32/6218
Andreia Liborio,UFC,202/2797
Andrey Pimentel,UFPR,70/2041
Bianchi Meiguins,UFPA,30/3961
Bruno Santana,UFRN,85/4056
Carla Berkenbrock,UDESC,62/1318
Carla Freitas,UFRGS,f/CarlaMDSFreitas
Carla Leitao,PUC-Rio,35/5720
Carla Rodriguez,UFABC,168/2764
Cecilia Baranauskas,UNICAMP,b/MCCBaranauskas
Celia Zorzo Barcelos,UFU,36/3699
Celmar Guimaraes da Silva,UNICAMP,86/1791
Clarisse de Souza,PUC-Rio,09/2802
Claudia Cappelli,UNIRIO,20/5813
Cristian Cechinel,UFPEL,50/8769
Cristiano Maciel,UFMT,62/5474
Daniela Trevisan,UFF,t/DanielaGorskiTrevisan
Darlinton Carvalho,UFSJ,25/9066
Diego Antunes,UFTPR,45/10090
Ecivaldo Matos,UFBA,135/2636
Edson Prestes e Silva,UFRGS,38/4107
Eduardo Todt,UFPR,91/2657
Elaine Hayashi,UNICAMP,61/7192
Elaine Oliveira,UFAM,193/1016
Eliane Pozzebon,UFSC,57/4546
Elizabeth Furtado,UNIFOR,55/6805
Emerson Paraiso,PUC-PR,33/4345
Eunice Nunes,UFMT,56/8926
Fatima Nunes,EACH/USP,87/8751
Fernanda Lima,UNB,20/5847
Flavio Figueiredo,UFMG,67/4526
Flavio Soares Correa da Silva,IME/USP,52/550
Francisco Vilar Brasileiro,UFCG,b/FranciscoVilarBrasileiro
Frederick van Amstel,PUC-PR,87/5849
Heiko Hornung,UNICAMP,32/9821
Heloise Manica Paris Teixeira,UEM,205/3319
Hugo Fuks,PUC-Rio,21/5671
Igor Steinmacher,UTFPR,70/3474
Ingrid Monteiro,UFC,92/9821
Isabela Gasparini,UDESC,83/667
Jair Leite,UFRN,16/4360
Joao Luiz Bernardes Junior,USP,204/2137
Joice Otsuka,UFSCAR,94/1828
Jose Guilherme Santa Rosa,UFRN,131/9179
Jose Viterbo,UFF,15/374
Jose de Vasconcelos Filho,UNIFOR,91/635
Juliana Bueno,UFPR,56/2304
Julio Dos Reis,UNICAMP,71/7193
Junia Coutinho Anacleto Silva,UFSCAR,a/JuniaCoutinhoAnacletoSilva
Jussara Almeida,UFMG,34/5480
Kamila Rodrigues,ICMC/USP,135/0936
Laura Sanchez Garcia,UFPR,58/488
Leonardo Cunha de Miranda,UFRN,78/137
Leonelo Almeida,UFTPR,15/289
Leticia Peres,UFPR,168/7362
Lucia Maziero,PUC-PR,78/1535
Luciana Porcher Nedel,UFRGS,60/2597
Luciana Salgado,UFF,15/7693
Luciana Zaina,UFSCAR,71/8694
Luiz Merkle,UFTPR,57/4815
Marcelle Mota,UFPA,182/3135
Marcelo Morandini,USP,67/2834
Marcelo Pimenta,UFRGS,p/MarceloSoaresPimenta
Marco Gerosa,IME/USP,68/5072
Marcos Alexandre Silva,UFSM,98/5323
Marcos Seruffo,UFPA,129/9669
Maria Augusta Nunes,UFS,29/1494
Maria Claudia Emer,UTFPR,46/1237
Maria Villela,UFVSJM,135/0836
Marilia Amaral,UTFPR,193/1020
Marilia Mendes,UFC,91/5328
Milene Silveira,PUC-RS,38/1199
Natasha Valentim,UFAM,135/0795
Nazareno Andrade,UFCG,14/1054
Nelson Neto,UFPA,53/2419
Nivan Ferreira,UFPE,96/10398
Patricia Jaques,UNISINOS,j/PatriciaAugustinJaques
Patricia de Souza,UFMT,00/8925
Raquel Prates,UFMG,51/3637
Renan Cattelan,UFU,73/3186
Renata Fortes,ICMC-USP,48/6369
Ricardo Caceffo,UNICAMP,175/6591
Roberto Pereira,UFPR,01/3932
Roberto Romani,UNICAMP,135/0764
Rodrigo Seabra,UFEI,185/7663
Rossana Andrade,UFC,61/6138
Silvia Amelia Bim,UTFPR,131/8176
Simone Ferreira,UNIRIO,44/9823
Simone Barbosa,PUC-Rio,b/SDJBarbosa
Soraia Prietch,UFMT,139/7426
Taciana Pontual Falcao,UFRPE,10/5013
Tatiana Tavares,UFPEL,89/3496
Tayana Conte,UFAM,48/5
Thais Castro,UFAM,88/1084
Thelma Colanzi,UEM,84/1707
Thiago Silva,UTFPR,42/10062
Tiago Primo,UFPel,34/9982
Tiago da Silva,UNIFESP,78/3343
Vania Neris,UFSCar,n/VaniaPAlmeidaNeris
Vaninha Vieira,UFBA,17/535
Vinicius Pereira,UFMT,54/3748
Yuska Aguiar,UFPB,135/0853
