Alex Garcia,IME,149/2580
Alvaro Moreira,URGS,50/3403
Anamaria Moreira,UFRJ,17/3197
Andre Murbach Maidl,PUC-PR,98/1959
Andre Rauber-DuBois,UFP,21/3472
Carlos Camarao,UFMG,27/4510
Christiano Braga,UFF,b/ChristianoBraga
Fabio Mascarenhas,UFRJ,80/5193
Fernando Castor,UFPE,f/FCFilho
Fernando Pereira,UFMG,p/FMQPereira
Francisco Carvalho-Junior,UFC,32/1402
Francisco Sant'Anna,UERJ,16/7375
Gustavo Pinto,UFPA,36/11116-1
Henrique Rebelo,UFPE,27/5017
Jose Carlos Maldonado,ICMC/USP,28/2292
Leopoldo Teixeira,UFPE,62/8372
Lucilia Figueiredo,UFOP,79/1464
Marcelo D'Amorim,UFPE,16/608
Marcelo Maia,UFU,97/4668
Marcio Ribeiro,UFAL,r/MarcioRibeiro
Mariza Bigonha,UFMG,91/739
Martin Musicante,UFRN,72/5025
Noemi Rodriguez,PUC-Rio,95/2066
Paulo Borba,UFPE,b/PauloBorba
Rafael Lins,UFPE,44/4611
Roberto Bigonha,UFMG,67/5401
Roberto Ierusalimschy,PUC-Rio,90/4557
Rohit Gheyi,UFCG,10/3240
Rodrigo Geraldo,UFOP,133/5923
Sandro Rigo,UNICAMP,79/2208
Guido Araujo,UNICAMP,a/GuidoAraujo
Edson Borin,UNICAMP,55/608
Leonardo Barbosa,UFMG,152/5864
Andre Santos,UFPE,156/8876
Fabiano Ferrari,UFSCAR,48/5007
