Abel Guilhermino da Silva Filho,UFPE,90/4151
Adenauer Yamin,UFPEL,y/AdenauerCYamin
Adenilso Simao,ICMC/USP,24/261
Adenilton da Silva,UFPE,03/8672
Adiel Almeida Filho,UFPE,51/8647
Adilson Elias Xavier,COPPE/UFRJ,72/8017
Adolfo Neto,UTFPR,84/2417
Adriana Vivacqua,DCC/UFRJ,10/6491
Adriane Serapiao,UNESP,96/4642
Adriano Oliveira,UFPE,80/3742
Adriano Pereira,UFMG,73/6430
Adriano Veloso,UFMG,12/919
Adriao Duarte Doria Neto,UFRN,47/1020
Afonso Paiva,ICMC/USP,18/4238
Afonso Sales,PUC-RS,34/2428
Agma Traina,ICMC/USP,t/AgmaJMTraina
Alan Moraes,UFPB,121/2930
Alan Valejo,UFSCar,149/9198
Alana Da Gama,UFPE,07/11234
Alba Melo,UnB,m/AlbaCMAMelo
Alberto Castro,UFAM,61/2142
Alberto Ferreira De Souza,UFES,82/3659
Alberto Laender,UFMG,l/AHFLaender
Alberto Raposo,PUC-Rio,r/AlbertoBarbosaRaposo
Alberto Schaeffer Filho,UFRGS,89/1649
Alceu Souza Britto,PUCPR,98/5101
Alcione de Paiva Oliveira,UFV,52/7546
Aldebaro Klautau,FCT/UFPA,44/1366
Aldo von Wangenhein,UFSC,w/AldovonWangenheim
Aldri dos Santos,UFMG,85/7266
Aleardo Manacero,UNESP,27/7381
Alejandro Frery,UFAL,f/ACFrery
Alessandra Alaniz Macedo,FFCLRP/USP,m/AlessandraAMacedo
Alessandro Garcia,PUC-Rio,g/AlessandroFGarcia
Aleteia de Araujo,UnB,38/2179
Alex Garcia,IME/RJ,149/2580
Alex Sandro Gomes,UFPE,43/5447
Alex Sandro Roschildt Pinto,UFSC,97/1179
Alex Vieira,UFJF,02/4387
Alexander Robert Kutzke,UFPR,75/9680
Alexandre Correa,UNIRIO,29/79
Alexandre Delbem,ICMC/USP,92/3940
Alexandre Falcao,UNICAMP,f/AlexandreXFalcao
Alexandre Levada,UFSCar,35/3314
Alexandre Mota,UFPE,m/AlexandreMota
Alexandre Noma,UFABC,62/6454
Alexandre Passito,UFAM,57/5845
Alexandre Plastino,UFF,54/401
Alexandre Rossi Paschoal,UTFPR,223/7311
Alexandre Salles da Cunha,UFMG,18/1842
Alexandre Sena,UERJ,73/1177
Alexandre Sztajnberg,UERJ,92/4374
Alexandre Vasconcelos,UFPE,71/4614
Alexandre Zaghetto,UnB,21/4294
Alexandro Baldassin,UNESP,22/3545
Alfredo Goldman,IME/USP,g/AlfredoGoldman
Aline Andrade,UFBA,50/915
Aline Nascimento,UFF,50/3811
Aline Paes,UFF,95/4928
Aline Villavicencio,UFRGS,v/AlineVillavicencio
Alisson Vasconcelos de Brito,UFPB,35/5746
Almerindo Rehem Neto,UFBA,44/4401
Alneu de Andrade Lopes,ICMC/USP,60/5946
Altair Olivo Santin,PUCPR,38/5417
Altigran Silva,UFAM,s/ASdaSilva
Aluizio Araujo,UFPE,a/AFRAraujo
Alvaro Fazenda,UNIFESP,08/2528-1
Alvaro Moreira,UFRGS,50/3403
Amanda Meincke Melo,UFPAMPA,94/4531
Amauri Holanda de Souza Junior,IFCE,131/3352
Ana Bazzan,UFRGS,b/AnaLCBazzan
Ana Carolina Lorena,UNIFESP,97/2733
Ana Carolina Salgado,UFPE,23/6139
Ana Cristina Bicharra Garcia,UNIRIO,45/6671
Ana Cristina Vendramin,UTFPR,96/9459
Ana Karolinna Maia,UFC,68/9890
Ana Paula Couto da Silva,UFMG,47/2795
Ana Teresa Martins,UFC,59/1719
Ana de Melo,IME/USP,55/6056
Anamaria Moreira,DCC/UFRJ,17/3197
Anand Subramanian,UFPB,37/882-1
Anarosa Brandao,POLI/USP,68/870
Anderson Almeida Ferreira,UFOP,76/5325
Anderson Chaves Carniel,UFSCar,122/8350
Anderson Faustino,UEM,87/6562
Anderson Maciel,UFRGS,72/4175
Anderson Rocha Tavares,UFRGS,156/7135
Anderson Rocha,UNICAMP,81/2446
Anderson Uchoa,UFC,199/5439
Andre Backes,UFU,72/1363
Andre Coelho,UNIFOR,c/AndreLVCoelho
Andre Drummond,UnB,72/6853
Andre Endo,UFSCar,55/7526
Andre Freire,UFLA,32/6218
Andre Fujita,IME/USP,77/7012
Andre Grahl Pereira,UFRGS,17/8199
Andre Gregio,UFPR,115/4570
Andre Gustavo dos Santos,UFV,84/525
Andre Hochuli,PUCPR,47/5891
Andre Hora,UFMG,54/7440
Andre Inacio Reis,UFRGS,29/1197
Andre Kashiwabara,UTFPR,155/2609
Andre Luis Vignatti,UFPR,163/8277
Andre Luiz Lins de Aquino,UFAL,13/5158
Andre Luiz Pires Guedes,UFPR,88/5206
Andre Luiz da Costa Carvalho,UFAM,76/6388
Andre Maidl,PUCPR,98/1959
Andre Ponce de Leon Carvalho,ICMC/USP,c/ACPLFdCarvalho
Andre Raabe,UNIVALI,85/2030
Andre Rauber du Bois,UFPEL,21/3472
Andre Renato Sales Amaral,UFES,92/3519
Andre Renato Villela da Silva,UFF,67/7433
Andre Rossi,UNESP,86/4146
Andre Santanche,UNICAMP,72/3424
Andre Santos,UFPE,s/AndreSantos
Andre Schneider de Oliveira,UTFPR,160/1451
Andrea Bianchi,UFOP,56/8906
Andreia Liborio,UFC,202/2797
Andreia Malucelli,PUCPR,82/191
Andrey Brito,UFCG,25/4955
Andrey Pimentel,UFPR,70/2041
Andson Marreiros Balieiro,UFPE,140/1381
Anelise Munaretto,UTFPR,09/2276
Angelo Brayner,UFC,b/AngeloBrayner
Anisio Lacerda,UFMG,90/844
Anjolina Oliveira,UFPE,86/2344
Anna Costa,POLI/USP,r/AnnaHelenaRealiCosta
Anne Canuto,UFRN,c/AnneMPCanuto
Anselmo Cardoso de Paiva,UFMA,p/AnselmoCardosodePaiva
Anselmo Montenegro,UFF,21/6489
Antonio Abelem,UFPA,16/7815
Antonio Alfredo Ferreira Loureiro,UFMG,l/AntonioAlfredoFerreiraLoureiro
Antonio Apolinario,UFBA,117/8406
Antonio Augusto Medeiros Frohlich,UFSC,43/6521
Antonio Augusto de Aragao Rocha,UFF,209/2422
Antonio Carlos Schneider Beck,UFRGS,02/7021
Antonio Furtado,PUC-Rio,f/AntonioLFurtado
Antonio Miguel Vieira Monteiro,INPE,58/3439
Antonio Sementille,UNESP,86/1502
Antonio Tadeu Gomes,LNCC,96/1748
Antonio de Oliveira,COPPE/UFRJ,o/AntonioAFOliveira
Aparecido Marana,UNESP,36/1416
Ariadne Carvalho,UNICAMP,05/4617
Arilo Dias Neto,UFAM,27/11253
Arnaldo Araujo,UFMG,a/ArnaldodeAlbuquerqueAraujo
Arnaldo Moura,UNICAMP,61/669
Arthur Francisco Lorenzon,UFRGS,160/4663
Artur Ziviani,LNCC,47/772
Arturo Hernandez-Dominguez,UFAL,95/3261
Asla Medeiros,FGV,33/5048
Augusto Jose Venancio Neto,UFRN,88/6376
Augusto Sampaio,UFPE,s/AugustoSampaio
Aura Conci,UFF,c/AuraConci
Auri Vincenzi,UFSCar,05/4141
Aurora Pozo,UFPR,p/AuroraPozo
Avelino Zorzo,PUC-RS,z/AvelinoFZorzo
Awdren Fontao,UFMS,168/6211
Ayla Dantas,UFPB,46/536
Baldoino Fonseca,UFAL,22/7095
Benjamin Bedregal,UFRN,32/3731
Bernadette Loscio,UFPE,51/6689
Bernardo Pereira Nunes,PUC-Rio,08/10894
Berthier Ribeiro,UFMG,r/BerthierARibeiroNeto
Bianchi Meiguins,UFPA,30/3961
Breno Bernard Nicolau de Franca,UNICAMP,122/4837
Breno Miranda,UFPE,119/0420
Bruno Cafeo,UNICAMP,46/10082
Bruno Cartaxo,IFPE,144/8274
Bruno Carvalho,UFRN,92/5191
Bruno Castro da Silva,UFRGS,75/3139
Bruno Costa e Silva Nogueira,UFAL,26/440
Bruno Feijo,PUC-Rio,36/3530
Bruno Gadelha,UFAM,77/7361
Bruno Grisci,UFRGS,173/4128
Bruno Guazzelli Batista,UNIFEI,136/5505
Bruno Jefferson Pessoa,UFPB,128/5727
Bruno Kimura,UNIFESP,36/804
Bruno Lopes Dalmazo,FURG,50/8505
Bruno Luiggi Macchiavello Espinoza,UNB,55/2932
Bruno Nogueira,UFMS,73/991
Bruno Pereira dos Santos,UFBA,163/8922
Bruno Petrato Bruck,UFPB,117/4692
Bruno Queiroz Pinto,IFTM,225/5123
Bruno Santana,UFRN,85/4056
Bruno Schulze,LNCC,27/729
Bruno Souza,UFMA,60/29
Bruno Travencolo,UFU,63/5088
Bruno Zatt,UFPEL,33/2753
Caetano Traina,ICMC/USP,t/CaetanoTrainaJr
Camilo Almendra,UFC,252/8867
Camilo Dorea,UnB,29/6012
Carina Dorneles,UFSC,74/2312
Carina Frota Alves,UFPE,93/9961
Carla Bezerra,UFC,09/5610
Carla Delgado,DCC/UFRJ,51/3466
Carla Freitas,UFRGS,f/CarlaMDSFreitas
Carla Leitao,PUC-Rio,35/5720
Carla Osthoff,LNCC,76/6443
Carla Rocha,UnB,248/8311
Carla Rodriguez,UFABC,168/2764
Carla Taciana,UFPE,06/4462
Carla Westphall,UFSC,w/CarlaMerkleWestphall
Carlos Alberto Vieira Campos,UNIRIO,83/4679
Carlos Alberto da Silva,UFMS,168/9632
Carlos Alberto de Jesus Martinhon,UFF,99/10
Carlos Alexandre Barros de Mello,UFPE,48/6569
Carlos Augusto Martins,PUC Minas,00/5521
Carlos Becker Westphall,UFSC,b/CarlosBeckerWestphall
Carlos Eduardo Santos Pires,UFCG,59/4336
Carlos Eduardo da Silva,UFRN,78/7056
Carlos Ferraz,UFPE,31/2870
Carlos Ferreira,IME/USP,46/263
Carlos Fisch Brito,UFC,98/5920
Carlos Henrique Costa Ribeiro,ITA,22/5107
Carlos Kamienski,UFABC,74/2714
Carlos Lima,UFCA,137/5112
Carlos Lopes,UFU,87/2415
Carlos Lucena,PUC-Rio,l/CarlosJosePereiradeLucena
Carlos Maziero,UFPR,m/CarlosMaziero
Carlos Olarte,UFRN,o/CarlosOlarte
Carlos Silla,PUCPR,38/3598
Carmem Hara,UFPR,26/3914
Cassio Prazeres,UFBA,06/710
Cecilia Rubira,UNICAMP,80/5752
Celia Ralha,UnB,09/2442
Celina de Figueiredo,COPPE/UFRJ,09/5415
Celio Vinicius Neves de Albuquerque,UFF,40/809
Celmar Guimaraes da Silva,UNICAMP,86/1791
Celso Kaestner,UTFPR,53/5358
Celso Massaki Hirata,ITA,h/CelsoMassakiHirata
Celso Ribeiro,UFF,26/4167
Celso Saibel Santos,UFES,s/CelsoAlbertoSaibelSantos
Cesar Augusto Fonticielha De Rose,PUC-RS,95/5199
Cesar Augusto Marcon,PUC-RS,13/6510
Cesar Comin,UFSCar,85/10263
Cesar Lincoln Mattos,UFC,150/2808
Cesar Pozzer,UFSM,69/4107
Cesar Tacla,UTFPR,75/4008
Christian Rothenberg,FEEC/UNICAMP,70/2654
Christiane Brasil,UFU,11/8671
Christiane Neme Campos,UNICAMP,65/1977
Christiane von Wangenheim,UFSC,w/ChristianeGressevonWangenheim
Christiano Braga,UFF,b/ChristianoBraga
Christina Chavez,UFBA,c/ChristinavonFlachGChavez
Cid Carvalho de Souza,UNICAMP,42/819
Clarisse de Souza,PUC-Rio,09/2802
Claudia Bauzer Medeiros,UNICAMP,m/CBMedeiros
Claudia Cappelli,UNIRIO,20/5813
Claudia Lage Rebello da Motta,NCE/UFRJ,19/3129
Claudia Linhares Sales,UFC,08/5881
Claudia Nalon,UnB,61/6528
Claudia Werner,COPPE/UFRJ,w/CMLWerner
Claudine Badue,UFES,12/97
Claudio Amorim,COPPE/UFRJ,05/439
Claudio Campelo,UFCG,77/3901
Claudio Esperanca,COPPE/UFRJ,68/813
Claudio Geyer,UFRGS,b/ClaudioFernandoResinGeyer
Claudio Jung,UFRGS,07/5754
Claudio Machado Diniz,UFRGS,27/1742
Claudio SantAnna,UFBA,64/4218
Claudio Toledo,ICMC/USP,07/5259
Claudio de Souza Baptista,UFCG,b/ClaudiodeSouzaBaptista
Claudomiro Sales,UFPA,181/6614
Claudson Bornstein,DCC/UFRJ,93/6594
Cleber Zanchettin,UFPE,75/5629
Cleidson Souza,UFPA,29/7640
Clodis Boscarioli,UNIOESTE,97/993
Clodoaldo Lima,EACH/USP,34/4377
Clodoveu Davis,UFMG,d/ClodoveuADavis
Creto Vidal,UFC,85/3970
Cristian Cechinel,UFPEL,50/8769
