Adriana Vivacqua,DCC/UFRJ
Alberto Raposo,PUC-Rio
Ana Cristina Bicharra Garcia,UNIRIO
Anderson Maciel,UFRGS
Andre Freire,UFLA
Andreia Malucelli,PUCPR
Baldoino Fonseca,UFAL
Bruno Gadelha,UFAM
Carla Freitas,UFRGS
Celso Saibel Santos,UFES
Christiane von Wangenheim,UFSC
Christina Chavez,UFBA
Claudia Bauzer Medeiros,UNICAMP
Cleidson Souza,UFPA
Cristiano Maciel,UFMT
Daniela Trevisan,UFF
Ecivaldo de Souza Matos,UFBA
Edna Dias Canedo,UnB
Eduardo Figueiredo,UFMG
Elaine Oliveira,UFAM
Elizabeth Furtado,UNIFOR
Emanuel Felipe Duarte,UNICAMP
Emerson Carlos Pedrino,UFSCar
Fatima Nunes,EACH/USP
Fernando Figueira Filho,UFRN
Guilherme Travassos,COPPE/UFRJ
Gustavo Pinto,UFPA
Heiko Hornung,UNICAMP
Helio Lopes,PUC-Rio
Igor Wiese,UTFPR
Isabela Gasparini,UDESC
Jorge Luis Victoria Barbosa,Unisinos
Jose Viterbo,UFF
Julio Dos Reis,UNICAMP
Kamila Rodrigues,ICMC/USP
Katia Romero Felizardo,UTFPR
Kiev Gama,UFPE
Kleinner Farias,Unisinos
Leandro Balby Marinho,UFCG
Leonardo Cunha de Miranda,UFRN
Leticia dos Santos Machado,UFRGS
Luciana Porcher Nedel,UFRGS
Luciana Zaina,UFSCar
Luciano Silva,UFPR
Luiz Augusto Morais,UFPE
Manoela Milena Oliveira da Silva,UFPE
Marcelle Mota,UFPA
Marcelo Manzato,ICMC/USP
Marcelo Medeiros Eler,EACH/USP
Marcelo Pimenta,UFRGS
Marcio Ribeiro,UFAL
Marcos Lage,UFF
Marcos Roberto Silva Borges,DCC/UFRJ
Marcos Seruffo,UFPA
Maria Cecilia Baranauskas,UNICAMP
Maria Cristina Ferreira Oliveira,ICMC/USP
Marilia Mendes,UFC
Marley Vellasco,PUC-Rio
Milene Silveira,PUC-RS
Monalessa Barcellos,UFES
Nazareno Andrade,UFCG
Rafael Bordini,PUC-RS
Rafael Prikladnicki,PUC-RS
Raquel Prates,UFMG
Renato Ferreira,UFMG
Roberto Pereira,UFPR
Rodrygo Santos,UFMG
Rossana Andrade,UFC
Sean Siqueira,UNIRIO
Seiji Isotani,ICMC/USP
Sheila Reinehr,PUCPR
Simone Bacellar Leal Ferreira,UNIRIO
Simone Barbosa,PUC-Rio
Soraia Prietch,UFMT
Tatiana Tavares,UFPEL
Tayana Conte,UFAM
Ticianne Darin,UFC
Vania Neris,UFSCar
Vaninha Vieira,UFBA
Vasco Furtado,UNIFOR
Virgilio Almeida,UFMG
Walter Takashi Nakamura,UTFPR
Yuska Aguiar,UFPB
