1,ICSE,ACM SIGSOFT/IEEE CS,415,68,16.4,68,,12
2,FSE,ACM SIGSOFT,295,72,24.4,43,,12
3,MSR,ACM SIGSOFT/IEEE CS,121,37,30.6,39,,12
4,ASE,ACM SIGSOFT/IEEE CS,314,65,20.7,31,,12
5,ISSTA,ACM SIGSOFT,118,31,26.3,31,,12
6,ICSME,IEEE CS,150,42,28.0,29,,12
7,ICST,IEEE CS,135,36,26.7,29,,12
8,MODELS,ACM SIGSOFT/IEEE CS,68,17,25.0,26,,11
9,SANER,IEEE CS,135,34,25.2,26,,12
10,SPLC,-,49,15,30.6,25,,10
11,RE,IEEE CS,96,27,28.1,23,,10
12,FASE,ETAPS,91,25,27.5,23,,17
13,ICPC,IEEE CS,83,28,33.7,21,,12
14,ESEM ,ACM SIGSOFT/IEEE CS,109,21,19.3,20,,10
15,ICSA,IEEE,95,21,22.1,16,,10
