ICSE,ICSE,1
ESEC/SIGSOFT FSE,FSE,1
SIGSOFT FSE,FSE,1
FSE,FSE,1
ASE,ASE,1
ISSTA,ISSTA,3
MSR,MSR,3
ICSME,ICSME,3
ICSM,ICSME,3
ESEM,ESEM,3
MoDELS,MoDELS,3
SANER,SANER,3
CSMR-WCRE,SANER,3
RE,RE,3
SPLC,SPLC,3
ICPC,ICPC,3
ICST,ICST,3
FASE,FASE,3
WICSA,ICSA,3
ICSA,ICSA,3
ACM Trans. Softw. Eng. Methodol.,TOSEM,4
IEEE Trans. Software Eng.,TSE,4
Empir. Softw. Eng.,EMSE,5
Inf. Softw. Technol.,IST,5
Softw. Qual. J.,SQJ,5
Softw. Syst. Model.,SoSyM,5
J. Softw. Evol. Process.,JSEP,5
"Softw. Pract. Exp.",SPE,5
J. Syst. Softw.,JSS,5
IEEE Softw.,IEEE Software,6
Requir. Eng.,REJ,5
Sci. Comput. Program.,SCP,5
