ICSE,ICSE,1
ESEC/SIGSOFT FSE,FSE,1
SIGSOFT FSE,FSE,1
ASE,ASE,2
ISSTA,ISSTA,3
MSR,MSR,3
ICSME,ICSME,3
ICSM,ICSME,3
ESEM,ESEM,3
MoDELS,MoDELS,3
SANER,SANER,3
CSMR-WCRE,SANER,3
RE,RE,3
SPLC,SPLC,3
ICPC,ICPC,3
ICST,ICST,3
FASE,FASE,3
WICSA,ICSA,3
ICSA,ICSA,3
ISSRE,ISSRE,3
ACM Trans. Softw. Eng. Methodol.,TOSEM,4
IEEE Trans. Software Eng.,TSE,4
Empirical Software Engineering,EMSE,5
Information & Software Technology,IST,5
Software Quality Journal,SQJ,5
Autom. Softw. Eng.,ASEJ,5
Software and System Modeling,SoSyM,5
Journal of Software: Evolution and Process,JSEP,5
Sci. Comput. Program.,SCP,5
"Softw., Pract. Exper.",SPE,5
