IEEE Communications Magazine,IEEE ComSoc,,119,magazine,6
IEEE Trans. on Wireless Communications,IEEE ComSoc,590,100,,10
Journal on Selected Areas in Communications,IEEE ComSoc,197,89,,10
IEEE Trans. on Communications,IEEE ComSoc,399,78,,10
IEEE Wireless Communications,IEEE ComSoc,,73,,10
IEEE Trans. on Mobile Computing,IEEE CS,253,68,,10
IEEE/ACM Trans. on Networking ,"IEEE CS,SIGCOMM",271,60,top,10
Journal of Network and Computer Applications,Elsevier,224,59,,10
Computer networks,Elsevier,271,58,,10
Networks,Willey,46,56,,10
Ad Hoc Networks,Elsevier,125,52,,10
Computer Communications,Elsevier,178,48,,10
