2015,J. Computational Biology,"A Faster 1.375-Approximation Algorithm for Sorting by Transpositions*.",Luís Felipe I. Cunha; Luis Antonio Brasil Kowada; Rodrigo de A. Hausen; Celina M. H. de Figueiredo,https://doi.org/10.1089/cmb.2014.0298,null,J,no_arxiv,1
2019,Discrete Applied Math.,"On the embedding of cone graphs in the line with distinct distances between neighbors.",Rodrigo M. Zhou; Celina M. H. de Figueiredo; Raphael C. S. Machado; Vinícius Gusmão Pereira de Sá,https://doi.org/10.1016/j.dam.2018.05.007,null,J,no_arxiv,1
2019,Discrete Applied Math.,"Timber game as a counting problem.",Ana Luísa Furtado; Simone Dantas; Celina M. H. de Figueiredo; Sylvain Gravier,https://doi.org/10.1016/j.dam.2017.11.011,null,J,no_arxiv,0
2019,Discrete Mathematics,"On Nordhaus-Gaddum type inequalities for the game chromatic and game coloring numbers.",Clément Charpentier; Simone Dantas; Celina M. H. de Figueiredo; Ana Luísa Furtado; Sylvain Gravier,https://doi.org/10.1016/j.disc.2019.01.012,null,J,no_arxiv,0
2018,Algorithmica,"The Sandwich Problem for Decompositions and Almost Monotone Properties.",Maria Chudnovsky; Celina M. H. de Figueiredo; Sophie Spirkl,https://doi.org/10.1007/s00453-018-0409-6,null,J,no_arxiv,0
2018,Discrete Applied Math.,"The partitioned probe problem: NP-complete versus polynomial dichotomy.",Simone Dantas; Luérbio Faria; Celina M. H. de Figueiredo; Rafael B. Teixeira,https://doi.org/10.1016/j.dam.2017.02.006,null,J,no_arxiv,0
2018,Discrete Applied Math.,"Using SPQR-trees to speed up recognition algorithms based on 2-cutsets.",Hélio B. Macêdo Filho; Celina M. H. de Figueiredo; Z. Li; Raphael Machado,https://doi.org/10.1016/j.dam.2017.01.009,null,J,no_arxiv,0
2018,Discrete Applied Math.,"Sandwich and probe problems for excluding paths.",Celina M. H. de Figueiredo; Sophie Spirkl,https://doi.org/10.1016/j.dam.2018.05.054,null,J,no_arxiv,1
2018,LATIN,"The Graph Tessellation Cover Number: Extremal Bounds, Efficient Algorithms and Hardness.",Alexandre Santiago de Abreu; Luís Felipe I. Cunha; Tharso D. Fernandes; Celina M. H. de Figueiredo; Luis Antonio Brasil Kowada; Franklin L. Marquezino; Daniel Posner; Renato Portugal,https://doi.org/10.1007/978-3-319-77404-6_1,null,C,http://arxiv.org/abs/1712.07476v1,0
2017,Algorithmica,"Efficient Algorithms for Clique-Colouring and Biclique-Colouring Unichord-Free Graphs.",Hélio B. Macêdo Filho; Raphael C. S. Machado; Celina M. H. de Figueiredo,https://doi.org/10.1007/s00453-015-0106-7,null,J,no_arxiv,1
2016,Discrete Applied Math.,"On the equitable total chromatic number of cubic graphs.",Simone Dantas; Celina M. H. de Figueiredo; Giuseppe Mazzuoccolo; Myriam Preissmann; Vinícius Fernandes dos Santos; Diana Sasaki,https://doi.org/10.1016/j.dam.2015.10.013,null,J,no_arxiv,2
2016,Discrete Applied Math.,"The cost of perfection for matchings in graphs.",Emilio Vital Brazil; Celina M. H. de Figueiredo; Guilherme Dias da Fonseca; Diana Sasaki,https://doi.org/10.1016/j.dam.2014.12.006,null,J,http://arxiv.org/abs/1204.2727v5,1
2016,Discrete Applied Math.,"A note on the middle levels problem.",Andréia C. S. Gusmão; Letícia Rodrigues Bueno; Rodrigo de A. Hausen; Celina M. H. de Figueiredo; Luérbio Faria,https://doi.org/10.1016/j.dam.2015.08.001,null,J,no_arxiv,0
2016,J. of Graph Theory,"The Same Upper Bound for Both: The 2-page and the Rectilinear Crossing Numbers of the -Cube.",Luérbio Faria; Celina M. H. de Figueiredo; R. Bruce Richter; Imrich Vrt'o,https://doi.org/10.1002/jgt.21910,null,J,no_arxiv,0
