2018,ICML,"Binary Partitions with Approximate Minimum Impurity.",Eduardo Sany Laber; Marco Molinaro; Felipe de A. Mello Pereira,http://proceedings.mlr.press/v80/laber18a.html,top,C,no_arxiv,
2018,Math OR,"Analysis of Sparse Cutting Planes for Sparse MILPs with Applications to Stochastic MILPs.",Santanu S. Dey; Marco Molinaro; Qianyi Wang,https://doi.org/10.1287/moor.2017.0866,top,J,http://arxiv.org/abs/1601.00198v1,1
2018,Math Program,"Theoretical challenges towards cutting-plane selection.",Santanu S. Dey; Marco Molinaro,https://doi.org/10.1007/s10107-018-1302-4,null,J,no_arxiv,1
2018,Math Program,"Aggregation-based cutting-planes for packing and covering integer programs.",Merve Bodur; Alberto Del Pia; Santanu S. Dey; Marco Molinaro; Sebastian Pokutta,https://doi.org/10.1007/s10107-017-1192-x,null,J,no_arxiv,3
2018,Math Program,"Minimal cut-generating functions are nearly extreme.",Amitabh Basu; Robert Hildebrand; Marco Molinaro,https://doi.org/10.1007/s10107-017-1153-4,null,J,no_arxiv,0
2018,SIAM J Opt,"Improving the Randomization Step in Feasibility Pump.",Santanu S. Dey; Andres Iroume; Marco Molinaro; Domenico Salvagnin,https://doi.org/10.1137/16M1095962,null,J,http://arxiv.org/abs/1609.08121v1,0
2017,Math Program,"Mixed-integer quadratic programming is in NP.",Alberto Del Pia; Santanu S. Dey; Marco Molinaro,https://doi.org/10.1007/s10107-016-1036-0,null,J,no_arxiv,6
2017,Math Program,"Bounding the gap between the McCormick relaxation and the convex hull for bilinear functions.",Natashia Boland; Santanu S. Dey; Thomas Kalinowski; Marco Molinaro; Fabian Rigterink,https://doi.org/10.1007/s10107-016-1031-5,null,J,http://arxiv.org/abs/1507.08703v3,6
2016,Math OR,"Capacitated Vehicle Routing with Nonuniform Speeds.",Inge Li Gørtz; Marco Molinaro; Viswanath Nagarajan; R. Ravi 0001,https://doi.org/10.1287/moor.2015.0729,top,J,no_arxiv,2
2016,Math OR,"How the Experts Algorithm Can Help Solve LPs Online.",Anupam Gupta; Marco Molinaro,https://doi.org/10.1287/moor.2016.0782,top,J,http://arxiv.org/abs/1407.5298v2,2
2015,EJOR,"Characterization of the split closure via geometric lifting.",Amitabh Basu; Marco Molinaro,https://doi.org/10.1016/j.ejor.2014.12.018,null,J,http://arxiv.org/abs/1701.06679v1,1
2015,Math Program,"Approximating polyhedra with sparse inequalities.",Santanu S. Dey; Marco Molinaro; Qianyi Wang,https://doi.org/10.1007/s10107-015-0925-y,null,J,no_arxiv,6
2014,Math OR,"The Geometry of Online Packing Linear Programs.",Marco Molinaro; R. Ravi 0001,https://doi.org/10.1287/moor.2013.0612,top,J,no_arxiv,9
2019,SODA,"k-Servers with a Smile: Online Algorithms via Projections.",Niv Buchbinder; Anupam Gupta; Marco Molinaro; Joseph (Seffi) Naor,https://doi.org/10.1137/1.9781611975482.7,top,C,no_arxiv,0
2019,SODA,"Stochastic ℓp Load Balancing and Moment Problems via the L-Function Method.",Marco Molinaro,https://doi.org/10.1137/1.9781611975482.22,top,C,no_arxiv,0
2018,ICALP,"Maximizing Profit with Convex Costs in the Random-order Model.",Anupam Gupta; Ruta Mehta; Marco Molinaro,https://doi.org/10.4230/LIPIcs.ICALP.2018.71,null,C,no_arxiv,
2017,SODA,"Online and Random-order Load Balancing Simultaneously.",Marco Molinaro,https://doi.org/10.1137/1.9781611974782.108,top,C,no_arxiv,1
2016,Algorithmica,"Testing Lipschitz Functions on Hypergrid Domains.",Pranjal Awasthi; Madhav Jha; Marco Molinaro; Sofya Raskhodnikova,https://doi.org/10.1007/s00453-015-9984-y,null,J,no_arxiv,2
2014,Algorithmica,"Improved Approximation Algorithms for the Average-Case Tree Searching Problem.",Ferdinando Cicalese; Tobias Jacobs; Eduardo Sany Laber; Marco Molinaro,https://doi.org/10.1007/s00453-012-9715-6,null,J,no_arxiv,0
2014,ACM TOCT,"Limitations of Local Filters of Lipschitz and Monotone Functions.",Pranjal Awasthi; Madhav Jha; Marco Molinaro; Sofya Raskhodnikova,https://doi.org/10.1145/2692372.2692373,top,J,no_arxiv,0
2014,ESA,"How Experts Can Solve LPs Online.",Anupam Gupta; Marco Molinaro,https://doi.org/10.1007/978-3-662-44777-2_43,null,C,no_arxiv,2
