2018,NIPS/NeurIPS,"Fast Estimation of Causal Interactions using Wold Processes.",Flavio Figueiredo; Guilherme Resende Borges; Pedro O. S. Vaz de Melo; Renato M. Assunção,https://proceedings.neurips.cc/paper/2018/hash/aff0a6a4521232970b2c1cf539ad0a19-Abstract.html,top,C,http://arxiv.org/abs/1807.04595v2,0
2016,Neurocomputing,"Exploring multiple evidence to infer users' location in Twitter.",Erica C. Rodrigues; Renato M. Assunção; Gisele L. Pappa; Diogo Rennó; Wagner Meira Jr.,https://doi.org/10.1016/j.neucom.2015.05.066,null,J,no_arxiv,0
2020,ECML/PKDD,"Networked Point Process Models Under the Lens of Scrutiny.",Guilherme R. Borges; Flavio Figueiredo; Renato M. Assunção; Pedro O. S. Vaz de Melo,https://doi.org/10.1007/978-3-030-67658-2_12,null,C,no_arxiv,0
2019,JMLR,"Bayesian Space-Time Partitioning by Sampling and Pruning Spanning Trees.",Leonardo Vilela Teixeira; Renato M. Assunção; Rosangela Helena Loschi,http://jmlr.org/papers/v20/16-615.html,top,J,no_arxiv,0
2019,ACM TKDD,"In Search of a Stochastic Model for the E-News Reader.",Bráulio Miranda Veloso; Renato M. Assunção; Anderson A. Ferreira; Nivio Ziviani,https://doi.org/10.1145/3362695,top,J,no_arxiv,0
2017,KDD,"Luck is Hard to Beat: The Difficulty of Sports Prediction.",Raquel Y. S. Aoki; Renato Martins Assunção; Pedro O. S. Vaz de Melo,https://doi.org/10.1145/3097983.3098045,top,C,http://arxiv.org/abs/1706.02447v1,0
2016,KDD,"Burstiness Scale: A Parsimonious Model for Characterizing Random Series of Events.",Rodrigo Augusto da Silva Alves; Renato Martins Assunção; Pedro Olmo Stancioli Vaz de Melo,https://doi.org/10.1145/2939672.2939852,top,C,no_arxiv,0
2016,ECML/PKDD,"Infection Hot Spot Mining from Social Media Trajectories.",Roberto C. S. N. P. Souza; Renato M. Assunção; Derick M. de Oliveira; Denise E. F. de Brito; Wagner Meira Jr.,https://doi.org/10.1007/978-3-319-46227-1_46,null,C,no_arxiv,0
2016,RecSys,"Efficient Bayesian Methods for Graph-based Recommendation.",Ramon Lopes; Renato M. Assunção; Rodrygo L. T. Santos,https://doi.org/10.1145/2959100.2959132,null,C,no_arxiv,0
2020,ACM TOMM,"Random Playlists Smoothly Commuting Between Styles.",Marcos A. de Almeida; Carolina Coimbra Vieira; Pedro Olmo Stancioli Vaz de Melo; Renato Martins Assunção,https://doi.org/10.1145/3361742,top,J,no_arxiv,0
2021,Autonomous Robots,"Estimating boundary dynamics using robotic sensor networks with pointwise measurements.",David Saldaña; Renato M. Assunção; M. Ani Hsieh; Mario F. M. Campos; Vijay Kumar 0001,https://doi.org/10.1007/s10514-020-09954-5,null,J,no_arxiv,0
2016,ICRA,"Dynamic perimeter surveillance with a team of robots.",David Saldana; Reza Javanmard Alitappeh; Luciano C. A. Pimenta; Renato M. Assunção; Mario Fernando Montenegro Campos,https://doi.org/10.1109/ICRA.2016.7487740,null,C,no_arxiv,0
