2018,Future Generation CS,"Kuaa: A unified framework for design, deployment, execution, and recommendation of machine learning experiments.",Rafael de Oliveira Werneck; Waldir R. de Almeida; Bernardo Vecchia Stein; Daniel V. Pazinato; Pedro Ribeiro Mendes Júnior; Otávio Augusto Bizetto Penatti; Anderson Rocha 0001; Ricardo da Silva Torres,https://doi.org/10.1016/j.future.2017.06.013,null,J,no_arxiv,0
2021,ECML/PKDD,"Principled Interpolation in Normalizing Flows.",Samuel G. Fadel; Sebastian Mair 0001; Ricardo da Silva Torres; Ulf Brefeld,https://doi.org/10.1007/978-3-030-86520-7_8,null,C,http://arxiv.org/abs/2010.12059v1,0
2020,Concurr. & Computation,"A unified model for accelerating unsupervised iterative re-ranking algorithms.",Flávia Pisani; Lucas Pascotti Valem; Daniel Carlos Guimarães Pedronette; Ricardo da Silva Torres; Edson Borin; Maurício Breternitz Jr.,https://doi.org/10.1002/cpe.5702,null,J,no_arxiv,0
2022,Multimedia Tools Appl.,"Sport action mining: Dribbling recognition in soccer.",Sylvio Barbon Junior; Allan Pinto; João Vitor Barroso; Fabio Giuliano Caetano; Felipe Arruda Moura; Sergio Augusto Cunha; Ricardo da Silva Torres,https://doi.org/10.1007/s11042-021-11784-1,null,J,no_arxiv,0
2022,Multimedia Tools Appl.,"A genetic programming approach for searching on nearest neighbors graphs.",Javier Alvaro Vargas Muñoz; Zanoni Dias; Ricardo da Silva Torres,https://doi.org/10.1007/s11042-022-12248-w,null,J,no_arxiv,0
2021,Multimedia Tools Appl.,"A genetic algorithm approach for image representation learning through color quantization.",Érico Marco D. A. Pereira; Ricardo da Silva Torres; Jefersson A. dos Santos,https://doi.org/10.1007/s11042-020-10194-z,null,J,no_arxiv,0
2020,Multimedia Tools Appl.,"Neural relational inference for disaster multimedia retrieval.",Samuel G. Fadel; Ricardo da Silva Torres,https://doi.org/10.1007/s11042-020-09272-z,null,J,no_arxiv,0
2018,Multimedia Tools Appl.,"On the ensemble of multiscale object-based classifiers for aerial images: a comparative study.",Agnaldo Aparecido Esmael; Jefersson Alex dos Santos; Ricardo da Silva Torres,https://doi.org/10.1007/s11042-018-6023-4,null,J,no_arxiv,0
2019,Inf. Process. Mgmt.,"Unsupervised graph-based rank aggregation for improved retrieval.",Ícaro Cavalcante Dourado; Daniel Carlos Guimarães Pedronette; Ricardo da Silva Torres,https://doi.org/10.1016/j.ipm.2019.03.008,null,J,no_arxiv,0
2020,J. Network Computer App.,"On the classification of fog computing applications: A machine learning perspective.",Judy C. Guevara; Ricardo da Silva Torres; Nelson L. S. da Fonseca,https://doi.org/10.1016/j.jnca.2020.102596,null,J,no_arxiv,0
2021,IST,"On the prediction of long-lived bugs: An analysis and comparative study using FLOSS projects.",Luiz Alberto Ferreira Gomes; Ricardo da Silva Torres; Mario Lúcio Côrtes,https://doi.org/10.1016/j.infsof.2020.106508,null,J,no_arxiv,0
2019,IST,"Bug report severity level prediction in open source software: A survey and research opportunities.",Luiz Alberto Ferreira Gomes; Ricardo da Silva Torres; Mario Lúcio Côrtes,https://doi.org/10.1016/j.infsof.2019.07.009,null,J,no_arxiv,0
2021,PR,"A BFS-Tree of ranking references for unsupervised manifold learning.",Daniel Carlos Guimarães Pedronette; Lucas Pascotti Valem; Ricardo da Silva Torres,https://doi.org/10.1016/j.patcog.2020.107666,null,J,no_arxiv,0
2019,JVCI,"Relevance prediction in similarity-search systems using extreme value theory.",Alberto A. de Oliveira; Eric Oakley; Ricardo da Silva Torres; Anderson Rocha 0001,https://doi.org/10.1016/j.jvcir.2019.02.019,null,J,no_arxiv,0
2019,PR,"Hierarchical Clustering-Based Graphs for Large Scale Approximate Nearest Neighbor Search.",Javier Alvaro Vargas Muñoz; Marcos André Gonçalves; Zanoni Dias; Ricardo da Silva Torres,https://doi.org/10.1016/j.patcog.2019.106970,null,J,no_arxiv,0
2019,PRL,"Learning cost function for graph classification with open-set methods.",Rafael de Oliveira Werneck; Romain Raveaux; Salvatore Tabbone; Ricardo da Silva Torres,https://doi.org/10.1016/j.patrec.2019.08.010,null,J,no_arxiv,0
2019,IEEE TIP,"Multimedia Retrieval Through Unsupervised Hypergraph-Based Manifold Ranking.",Daniel Carlos Guimarães Pedronette; Lucas Pascotti Valem; Jurandy Almeida; Ricardo da Silva Torres,https://doi.org/10.1109/TIP.2019.2920526,null,J,no_arxiv,0
2018,PR,"Graph-based bag-of-words for classification.",Fernanda B. Silva; Rafael de Oliveira Werneck; Siome Goldenstein; Salvatore Tabbone; Ricardo da Silva Torres,https://doi.org/10.1016/j.patcog.2017.09.018,null,J,no_arxiv,0
2018,PR,"Semi-supervised transfer subspace for domain adaptation.",Luís A. M. Pereira; Ricardo da Silva Torres,https://doi.org/10.1016/j.patcog.2017.04.011,null,J,no_arxiv,0
