2021,Applied Soft Comput.,"Breast cancer intelligent analysis of histopathological data: A systematic review.",Felipe André Zeiser; Cristiano André da Costa; Adriana Vial Roehe; Rodrigo da Rosa Righi; Nuno Marques 0001,https://doi.org/10.1016/j.asoc.2021.107886,null,J,no_arxiv,0
2021,Expert Systems Appl.,"DeepSigns: A predictive model based on Deep Learning for the early detection of patient health deterioration.",Denise Bandeira da Silva; Diogo Schmidt; Cristiano André da Costa; Rodrigo da Rosa Righi; Björn M. Eskofier,https://doi.org/10.1016/j.eswa.2020.113905,null,J,no_arxiv,0
2020,Applied Soft Comput.,"Application of artificial intelligence methods in vital signs analysis of hospitalized patients: A systematic literature review.",Naira Kaieski; Cristiano André da Costa; Rodrigo da Rosa Righi; Priscila Schmidt Lora; Björn M. Eskofier,https://doi.org/10.1016/j.asoc.2020.106612,null,J,no_arxiv,0
2020,Engineering Appl. of AI,"ElHealth: Using Internet of Things and data prediction for elastic management of human resources in smart hospitals.",Gabriel Souto Fischer; Rodrigo da Rosa Righi; Gabriel de Oliveira Ramos; Cristiano André da Costa; Joel J. P. C. Rodrigues,https://doi.org/10.1016/j.engappai.2019.103285,null,J,no_arxiv,0
2020,Expert Systems Appl.,"Intelligent personal assistants: A systematic literature review.",Allan de Barcelos Silva; Márcio Miguel Gomes; Cristiano André da Costa; Rodrigo da Rosa Righi; Jorge Luis Victória Barbosa; Gustavo Pessin; Geert De Doncker; Gustavo Federizzi,https://doi.org/10.1016/j.eswa.2020.113193,null,J,no_arxiv,0
2020,Expert Systems Appl.,"H2-SLAN: A hyper-heuristic based on stochastic learning automata network for obtaining, storing, and retrieving heuristic knowledge.",Luan Carlos Nesi; Rodrigo da Rosa Righi,https://doi.org/10.1016/j.eswa.2020.113426,null,J,no_arxiv,0
2019,Expert Systems Appl.,"Survey of conversational agents in health.",João Luis Zeni Montenegro; Cristiano André da Costa; Rodrigo da Rosa Righi,https://doi.org/10.1016/j.eswa.2019.03.054,null,J,no_arxiv,0
2022,Future Generation CS,"Serverless computing for Internet of Things: A systematic literature review.",Gustavo André Setti Cassel; Vinicius Facco Rodrigues; Rodrigo da Rosa Righi; Marta Rosecler Bez; Andressa Cruz Nepomuceno; Cristiano André da Costa,https://doi.org/10.1016/j.future.2021.10.020,null,J,no_arxiv,0
2022,Future Generation CS,"A multi-sensor architecture combining human pose estimation and real-time location systems for workflow monitoring on hybrid operating suites.",Vinicius Facco Rodrigues; Rodolfo Stoffel Antunes; Lucas Adams Seewald; Rodrigo Bazo; Eduardo Souza dos Reis; Uélison Jean Lopes dos Santos; Rodrigo da Rosa Righi; Luiz Gonzaga da Silveira Junior; Cristiano André da Costa; Felipe L. Bertollo; Andreas Maier 0001; Bjoern M. Eskofier; Tim Horz; Marcus Pfister; Rebecca Fahrig,https://doi.org/10.1016/j.future.2022.05.006,null,J,no_arxiv,0
2021,Parallel Computing,"On revisiting energy and performance in microservices applications: A cloud elasticity-driven approach.",Igor Fontana De Nardin; Rodrigo da Rosa Righi; Thiago Roberto Lima Lopes; Cristiano André da Costa; Heon Young Yeom; Harald Köstler,https://doi.org/10.1016/j.parco.2021.102858,null,J,no_arxiv,0
