2023,J. Parallel Distrib. Comput.,"Optimizing performance and energy across problem sizes through a search space exploration and machine learning.",Lana Scravaglieri; Mihail Popov; Laércio Lima Pilla; Amina Guermouche; Olivier Aumage; Emmanuelle Saillard,https://doi.org/10.1016/j.jpdc.2023.104720,null,J,no_arxiv,0
2023,IEEE TPDS,"Scheduling Algorithms for Federated Learning With Minimal Energy Consumption.",Laércio Lima Pilla,https://doi.org/10.1109/TPDS.2023.3240833,top,J,http://arxiv.org/abs/2209.06210v1,0
2022,Euro-Par,"Exploring Scheduling Algorithms for Parallel Task Graphs: A Modern Game Engine Case Study.",Mustapha Regragui; Baptiste Coye; Laércio Lima Pilla; Raymond Namyst; Denis Barthou,https://doi.org/10.1007/978-3-031-12597-3_7,null,C,no_arxiv,0
2021,J. Parallel Distrib. Comput.,"PackStealLB: A scalable distributed load balancer based on work stealing and workload discretization.",Vinicius Freitas; Laércio Lima Pilla; Alexandre de L. Santana; Márcio Castro 0001; Johanne Cohen,https://doi.org/10.1016/j.jpdc.2020.12.005,null,J,no_arxiv,0
2021,IPDPS,"Optimal Task Assignment for Heterogeneous Federated Learning Devices.",Laércio Lima Pilla,https://doi.org/10.1109/IPDPS49936.2021.00074,null,C,no_arxiv,0
2020,PDP,"Adaptive Load Balancing based on Machine Learning for Iterative Parallel Applications.",C. R. Anna Victoria Oikawa; Vinicius Freitas; Márcio Castro 0001; Laércio Lima Pilla,https://doi.org/10.1109/PDP50117.2020.00021,null,C,no_arxiv,0
2019,ACM TOPC,"EagerMap: A Task Mapping Algorithm to Improve Communication and Load Balancing in Clusters of Multicore Systems.",Eduardo H. M. Cruz; Matthias Diener; Laércio Lima Pilla; Philippe O. A. Navaux,https://doi.org/10.1145/3309711,top,J,no_arxiv,0
2018,Future Generation CS,"MigPF: Towards on self-organizing process rescheduling of Bulk-Synchronous Parallel applications.",Rodrigo da Rosa Righi; Roberto de Quadros Gomes; Vinicius Facco Rodrigues; Cristiano André da Costa; Antônio Marcos Alberti; Laércio Lima Pilla; Philippe Olivier Alexandre Navaux,https://doi.org/10.1016/j.future.2016.05.004,null,J,no_arxiv,0
2018,PDP,"Improving Communication and Load Balancing with Thread Mapping in Manycore Systems.",Eduardo H. M. Cruz; Matthias Diener; Matheus S. Serpa; Philippe Olivier Alexandre Navaux; Laércio Lima Pilla; Israel Koren,https://doi.org/10.1109/PDP2018.2018.00021,null,C,no_arxiv,0
2018,Data & Knowl. Eng.,"A branch and bound strategy for Fast Trajectory Similarity Measuring.",Andre Salvaro Furtado; Laércio Lima Pilla; Vania Bogorny,https://doi.org/10.1016/j.datak.2018.01.003,null,J,no_arxiv,0
2021,SPE,"ARTful: A model for user-defined schedulers targeting multiple high-performance computing runtime systems.",Alexandre de L. Santana; Vinicius Freitas; Márcio Castro 0001; Laércio Lima Pilla; Jean-François Méhaut,https://doi.org/10.1002/spe.2977,null,J,no_arxiv,0
2018,J. Grid Comput.,"A Cost Model for IaaS Clouds Based on Virtual Machine Energy Consumption.",Mauro Hinz; Guilherme Piêgas Koslovski; Charles Christian Miers; Laércio Lima Pilla; Maurício A. Pillon,https://doi.org/10.1007/s10723-018-9440-8,null,J,no_arxiv,0
2022,IEEE TCAD,"Algorithm Selection Framework for Legalization Using Deep Convolutional Neural Networks and Transfer Learning.",Renan Netto; Sheiny Fabre; Tiago Augusto Fontana; Vinicius S. Livramento; Laércio Lima Pilla; Laleh Behjat; José Luís Güntzel,https://doi.org/10.1109/TCAD.2021.3079126,null,J,no_arxiv,0
