2022,Inf. Sciences,"The minimum quasi-clique partitioning problem: Complexity, formulations, and a computational study.",Rafael A. Melo; Celso C. Ribeiro; José A. Riveaux,https://doi.org/10.1016/j.ins.2022.08.073,null,J,no_arxiv,0
2023,ITOR,"Preface to the Special Issue on Developments in Metaheuristics.",Juan G. Villegas; Jorge E. Mendoza; Celso C. Ribeiro; Rubén Ruiz; Andrés L. Medaglia,https://doi.org/10.1111/itor.13188,null,J,no_arxiv,0
2022,Computers & OR,"New formulations and branch-and-cut procedures for the longest induced path problem.",Ruslán G. Marzo; Rafael A. Melo; Celso C. Ribeiro; Marcio Costa Santos,https://doi.org/10.1016/j.cor.2021.105627,null,J,no_arxiv,0
2022,ITOR,"Maximum weighted induced forests and trees: new formulations and a computational comparative review.",Rafael A. Melo; Celso C. Ribeiro,https://doi.org/10.1111/itor.13066,null,J,http://arxiv.org/abs/2102.09194v2,0
2022,ITOR,"Shop scheduling in manufacturing environments: a review.",Carlos R. H. Márquez; Celso C. Ribeiro,https://doi.org/10.1111/itor.13108,null,J,no_arxiv,0
2021,EJOR,"Compact formulations and an iterated local search-based matheuristic for the minimum weighted feedback vertex set problem.",Rafael A. Melo; Michell F. Queiroz; Celso C. Ribeiro,https://doi.org/10.1016/j.ejor.2020.07.006,null,J,no_arxiv,0
2021,ITOR,"A decision support system for fraud detection in public procurement.",Rafael B. Velasco; Igor Carpanese; Ruben Interian; Octávio C. G. Paulo Neto; Celso C. Ribeiro,https://doi.org/10.1111/itor.12811,null,J,no_arxiv,0
2021,ITOR,"Polarization reduction by minimum-cardinality edge additions: Complexity and integer programming approaches.",Ruben Interian; Jorge R. Moreno; Celso C. Ribeiro,https://doi.org/10.1111/itor.12854,null,J,no_arxiv,0
2020,ITOR,"A GRASP with path-relinking and restarts heuristic for the prize-collecting generalized minimum spanning tree problem.",Ruslán G. Marzo; Celso C. Ribeiro,https://doi.org/10.1111/itor.12725,null,J,no_arxiv,0
2020,J Global Opt,"A biased random-key genetic algorithm for routing and wavelength assignment under a sliding scheduled traffic model.",Bruno Q. Pinto; Celso C. Ribeiro; Isabel Rosseti; Thiago F. Noronha,https://doi.org/10.1007/s10898-020-00877-0,null,J,no_arxiv,0
2019,ITOR,"Multicast routing under quality of service constraints for vehicular ad hoc networks: mathematical formulation and a relax-and-fix heuristic.",Celso C. Ribeiro; Tiago de A. Santos; Cid C. de Souza,https://doi.org/10.1111/itor.12605,null,J,no_arxiv,0
2019,ITOR,"An exact algorithm for the maximum quasi-clique problem.",Celso C. Ribeiro; José A. Riveaux,https://doi.org/10.1111/itor.12637,null,J,no_arxiv,0
2018,EJOR,"A biased random-key genetic algorithm for the maximum quasi-clique problem.",Bruno Q. Pinto; Celso C. Ribeiro; Isabel Rosseti; Alexandre Plastino 0001,https://doi.org/10.1016/j.ejor.2018.05.071,null,J,no_arxiv,0
2018,ITOR,"Extending time-to-target plots to multiple instances.",Alberto Reyes; Celso C. Ribeiro,https://doi.org/10.1111/itor.12507,null,J,no_arxiv,0
