2017,KDD,"Luck is Hard to Beat: The Difficulty of Sports Prediction.",Raquel Y. S. Aoki; Renato Martins Assunção; Pedro O. S. Vaz de Melo,http://doi.acm.org/10.1145/3097983.3098045,top,C,http://arxiv.org/abs/1706.02447v1,0
2016,KDD,"Burstiness Scale: A Parsimonious Model for Characterizing Random Series of Events.",Rodrigo Augusto da Silva Alves; Renato Martins Assunção; Pedro Olmo Stancioli Vaz de Melo,http://doi.acm.org/10.1145/2939672.2939852,top,C,no_arxiv,1
2017,Inf. Systems,"A large-scale study of cultural differences using urban data about eating and drinking preferences.",Thiago H. Silva; Pedro O. S. Vaz de Melo; Jussara M. Almeida; Mirco Musolesi; Antonio A. F. Loureiro,https://doi.org/10.1016/j.is.2017.10.002,null,J,no_arxiv,0
2015,ICWSM,"Breaking the News: First Impressions Matter on Online News.",Julio Cesar Soares dos Rieis; Fabrício Benevenuto de Souza; Pedro Olmo Stancioli Vaz de Melo; Raquel Oliveira Prates; Haewoon Kwak; Jisun An,http://www.aaai.org/ocs/index.php/ICWSM/ICWSM15/paper/view/10568,null,C,http://arxiv.org/abs/1503.07921v2,
2014,ACM TOIT,"Revealing the City That We Cannot See.",Thiago H. Silva; Pedro O. S. Vaz de Melo; Jussara M. Almeida; Juliana F. S. Salles; Antonio Alfredo Ferreira Loureiro,http://doi.acm.org/10.1145/2677208,top,J,no_arxiv,15
2014,ICWSM,"Working with Friends: Unveiling Working Affinity Features from Facebook Data.",Douglas Castilho; Pedro O. S. Vaz de Melo; Daniele Quercia; Fabrício Benevenuto,http://www.aaai.org/ocs/index.php/ICWSM/ICWSM14/paper/view/8084,null,C,no_arxiv,
2014,ICWSM,"You Are What You Eat (and Drink): Identifying Cultural Boundaries by Analyzing Food and Drink Habits in Foursquare.",Thiago H. Silva; Pedro O. S. Vaz de Melo; Jussara M. Almeida; Mirco Musolesi; Antonio A. F. Loureiro,http://www.aaai.org/ocs/index.php/ICWSM/ICWSM14/paper/view/8113,null,C,no_arxiv,
2013,WWW,"The self-feeding process: a unifying model for communication dynamics in the web.",Pedro Olmo Stancioli Vaz de Melo; Christos Faloutsos; Renato Assunção; Antonio Alfredo Ferreira Loureiro,http://doi.acm.org/10.1145/2488388.2488503,top,C,no_arxiv,10
2018,IEEE Comm. Magazine,"Combining Spatial and Social Awareness in D2D Opportunistic Routing.",Ivan Oliveira Nunes; Clayson Celes; Igor Nunes; Pedro O. S. Vaz de Melo; Antonio A. F. Loureiro,https://doi.org/10.1109/MCOM.2017.1600657,null,J,no_arxiv,3
2018,MSWiM,"MOCHA: A Tool for Mobility Characterization.",Fabrício R. de Souza; Augusto C. S. A. Domingues; Pedro O. S. Vaz de Melo; Antonio A. F. Loureiro,http://doi.acm.org/10.1145/3242102.3242124,null,C,no_arxiv,0
2017,Computer Networks,"GROUPS-NET: Group meetings aware routing in multi-hop D2D networks.",Ivan Oliveira Nunes; Clayson Celes; Pedro O. S. Vaz de Melo; Antonio A. F. Loureiro,https://doi.org/10.1016/j.comnet.2017.08.012,null,J,no_arxiv,4
2016,Computer Networks,"Pervasive forwarding mechanism for mobile social networks.",Kássio Machado; Azzedine Boukerche; Pedro O. S. Vaz de Melo; Eduardo Cerqueira; Antonio A. F. Loureiro,https://doi.org/10.1016/j.comnet.2016.08.022,null,J,no_arxiv,3
2014,IEEE Wireless Commun.,"Large-scale study of city dynamics and urban social behavior using participatory sensing.",Thiago H. Silva; Pedro O. S. Vaz de Melo; Jussara M. Almeida; Antonio A. F. Loureiro,https://doi.org/10.1109/MWC.2014.6757896,null,J,no_arxiv,33
2013,MSWiM,"RECAST: telling apart social and random relationships in dynamic networks.",Pedro O. S. Vaz de Melo; Aline Carneiro Viana; Marco Fiore; Katia Jaffrès-Runser; Frederic Le Mouel; Antonio A. F. Loureiro,http://doi.acm.org/10.1145/2507924.2507950,null,C,no_arxiv,1
